year,month,pickup_location_id,dropoff_location_id,p90_travel_time
2019,6,226,193,750340
2019,6,56,231,744157
2019,6,216,53,707320
2019,6,68,171,703315
2019,6,134,121,699752
2019,10,187,5,692224
2019,6,260,43,691514
2019,6,244,80,689693
2019,6,9,10,684314
2019,6,16,95,680265
2019,6,265,121,678921
2019,6,101,28,674839
2019,6,196,129,674394
2019,6,197,205,673782
2019,6,129,179,673641
2019,6,19,92,671007
2019,6,188,80,670305
2019,6,86,205,668456
2019,7,65,213,662857
2019,6,14,137,662476
2019,6,160,121,661477
2019,6,131,216,646272
2019,6,107,149,634578
2019,6,121,193,621206
2019,6,10,129,619279
2019,6,193,234,608995
2019,10,1,115,606340
2019,12,9,126,592260
2019,6,134,19,589982
2019,6,162,26,589189
2019,6,43,260,580104
2019,6,75,139,561147
2019,6,134,134,557309
2019,6,179,98,538296
2019,6,170,149,534180
2019,6,75,129,530676
2019,6,137,260,528975
2019,6,92,146,528793
2019,6,121,92,521380
2019,6,234,235,520500
2019,10,221,109,519833
2019,10,44,115,519694
2019,12,265,243,519303
2019,10,245,115,518984
2019,6,218,124,517567
2019,6,130,216,513377
2019,6,265,160,513153
2019,2,183,51,508256
2019,6,121,179,506892
2019,6,121,134,504414
2019,6,265,28,504043
2019,6,73,101,500871
2019,12,244,174,498946
2019,6,80,35,498313
2019,6,101,197,495402
2019,9,166,241,490408
2019,6,140,92,484514
2019,6,140,135,469098
2019,6,131,130,463792
2019,6,265,215,457544
2019,6,121,160,445662
2019,6,226,129,439532
2019,10,227,251,434701
2019,9,69,116,434501
2019,10,206,214,434269
2019,6,95,244,433800
2019,10,5,187,433484
2019,10,1,23,433386
2019,8,233,42,433200
2019,10,156,245,432723
2019,6,11,123,425137
2019,6,10,191,423566
2019,6,53,7,422875
2019,12,163,82,418652
2019,2,51,68,414771
2019,6,175,196,413701
2019,6,160,171,406609
2019,6,67,265,385705
2019,6,129,170,383301
2019,6,121,16,365225
2019,6,218,101,360582
2019,6,121,82,359802
2019,6,143,50,351482
2019,10,187,176,347974
2019,10,221,118,347703
2019,10,206,156,347555
2019,10,187,221,346926
2019,10,6,206,346702
2019,10,6,187,346700
2019,10,115,245,346137
2019,12,186,226,343122
2019,6,80,129,336042
2019,6,160,237,335000
2019,6,265,35,334370
2019,2,212,74,326836
2019,11,260,220,320760
2019,6,122,131,319297
2019,12,88,117,314489
2019,8,75,174,314047
2019,11,32,38,313784
2019,6,63,196,312667
2019,5,71,169,294291
2019,6,231,56,288507
2019,6,150,149,287450
2019,11,196,90,282720
2019,7,143,235,281601
2019,6,129,19,278398
2019,6,90,73,276069
2019,2,184,183,275485
2019,6,75,95,273983
2019,2,152,242,267682
2019,6,73,107,265625
2019,6,95,16,263695
2019,11,147,235,263535
2019,12,136,61,262012
2019,7,143,50,261928
2019,6,131,53,261634
2019,11,140,174,261478
2019,10,92,4,261240
2019,9,82,161,260958
2019,10,118,245,260361
2019,10,251,5,260306
2019,10,245,118,260214
2019,10,237,219,259920
2019,12,237,61,259239
2019,12,119,47,259208
2019,2,235,247,258138
2019,12,168,234,255791
2019,6,48,82,255217
2019,4,264,7,252459
2019,6,265,219,252020
2019,2,147,212,248923
2019,6,215,122,248301
2019,7,231,149,243535
2019,6,172,221,237667
2019,4,172,221,237307
2019,6,140,42,234415
2019,6,258,265,234309
2019,4,140,42,234029
2019,2,75,68,233890
2019,7,140,42,233562
2019,6,191,10,228297
2019,7,132,58,226933
2019,3,172,176,225589
2019,7,7,117,224288
2019,6,101,63,224079
2019,7,221,23,223392
2019,6,265,29,221247
2019,10,265,160,216741
2019,9,33,69,214746
2019,10,4,244,204488
2019,4,51,83,200952
2019,6,19,70,200093
2019,8,150,241,194498
2019,8,125,131,194374
2019,6,121,73,193792
2019,3,235,247,192151
2019,6,109,115,189059
2019,5,81,248,188121
2019,6,79,107,185597
2019,7,212,235,185192
2019,2,259,166,182871
2019,12,173,216,182280
2019,2,126,170,181069
2019,4,264,236,178201
2019,7,265,146,177508
2019,2,236,235,177440
2019,6,179,252,177268
2019,6,9,216,176962
2019,6,75,171,176047
2019,12,235,265,175681
2019,11,129,174,174960
2019,12,247,32,174925
2019,7,264,114,174079
2019,11,127,185,174063
2019,7,163,193,174054
2019,7,204,23,173371
2019,9,188,66,173103
2019,10,227,170,173030
2019,9,235,254,172804
2019,8,20,235,172803
2019,10,69,183,172803
2019,10,82,235,172727
2019,11,74,185,171508
2019,7,138,129,169477
2019,2,256,161,169365
2019,8,249,169,168596
2019,2,4,167,167100
2019,3,20,3,166876
2019,2,170,167,165898
2019,6,197,137,164956
2019,6,249,169,164376
2019,6,140,56,162931
2019,6,175,101,162545
2019,12,213,247,162093
2019,10,205,81,161690
2019,9,229,41,161302
2019,8,238,188,160831
2019,4,248,136,160081
2019,4,74,126,158791
2019,4,264,228,158608
2019,9,159,194,155607
2019,6,264,43,155297
2019,2,43,43,154788
2019,8,181,230,154477
2019,3,167,235,152230
2019,6,48,129,150464
2019,2,172,118,149548
2019,5,140,42,148234
2019,8,51,260,147343
2019,12,137,159,147240
2019,12,163,192,145865
2019,9,51,126,145531
2019,7,80,7,145143
2019,5,264,160,145063
2019,12,6,244,144172
2019,12,6,241,144153
2019,6,182,18,144037
2019,12,11,129,143385
2019,6,264,146,142534
2019,12,43,256,142137
2019,2,51,208,141648
2019,6,82,26,141508
2019,6,9,213,140220
2019,8,202,167,138832
2019,4,264,226,138724
2019,7,260,237,137539
2019,6,83,179,136229
2019,12,167,136,135712
2019,6,82,193,135343
2019,12,179,53,134377
2019,7,122,152,133852
2019,6,186,3,133211
2019,4,264,196,132655
2019,5,35,169,130784
2019,11,51,119,128522
2019,8,123,138,128265
2019,10,56,235,126836
2019,6,129,74,123974
2019,11,32,136,123059
2019,11,56,264,119728
2019,8,107,196,119508
2019,8,137,127,118377
2019,6,134,244,117155
2019,8,120,127,116912
2019,11,95,244,116052
2019,8,151,248,115926
2019,9,82,127,113466
2019,5,264,216,111892
2019,6,216,121,111370
2019,11,48,192,110517
2019,6,9,121,110418
2019,11,129,64,109172
2019,7,89,257,106794
2019,3,145,197,105451
2019,12,182,31,104576
2019,8,169,192,103895
2019,6,191,131,103190
2019,2,265,43,103088
2019,4,51,41,102796
2019,3,94,235,102056
2019,5,264,231,101758
2019,2,164,95,100878
2019,10,19,152,99934
2019,8,228,231,99872
2019,6,197,101,99022
2019,7,48,146,99006
2019,7,254,23,98554
2019,7,94,23,98523
2019,5,48,146,97971
2019,6,121,98,96543
2019,5,264,130,96086
2019,4,176,214,95284
2019,6,176,214,94864
2019,6,130,95,94541
2019,5,86,36,93934
2019,4,264,80,93714
2019,9,155,130,93141
2019,12,81,127,93090
2019,12,48,102,92707
2019,12,256,202,92448
2019,11,129,234,92444
2019,12,159,68,92329
2019,10,244,210,91761
2019,10,233,125,91702
2019,3,48,221,91319
2019,10,48,69,91265
2019,6,121,265,91254
2019,10,144,263,91241
2019,5,254,241,91133
2019,8,145,124,90932
2019,8,155,35,90797
2019,9,45,195,90744
2019,9,228,107,90717
2019,9,87,92,90459
2019,5,264,226,90445
2019,9,225,227,90388
2019,7,29,75,90374
2019,6,75,213,90240
2019,4,206,132,90000
2019,8,145,48,89822
2019,4,116,233,89796
2019,8,193,186,89783
2019,3,136,42,89763
2019,9,144,180,89621
2019,8,193,230,89488
2019,8,145,161,89424
2019,12,100,241,89327
2019,7,51,18,89285
2019,8,169,265,89251
2019,10,140,254,89240
2019,9,254,212,89126
2019,10,140,168,89105
2019,9,51,212,89031
2019,9,232,258,88976
2019,12,20,3,88921
2019,9,212,235,88905
2019,8,145,134,88879
2019,7,68,235,88862
2019,9,14,10,88831
2019,11,68,102,88797
2019,9,81,212,88781
2019,8,7,28,88766
2019,10,73,227,88756
2019,9,21,137,88747
2019,5,69,259,88740
2019,9,208,212,88717
2019,8,167,220,88711
2019,9,22,144,88689
2019,10,47,213,88659
2019,12,41,136,88654
2019,10,143,169,88653
2019,12,113,129,88644
2019,12,168,235,88638
2019,3,254,241,88615
2019,11,32,18,88612
2019,9,198,243,88580
2019,12,90,226,88552
2019,7,254,235,88542
2019,10,167,241,88538
2019,4,129,96,88434
2019,5,240,18,88416
2019,8,146,83,88393
2019,3,264,146,88288
2019,9,174,170,88278
2019,8,146,171,88163
2019,5,197,226,88020
2019,9,108,144,87967
2019,11,246,226,87951
2019,6,238,126,87780
2019,6,137,169,87780
2019,9,144,195,87770
2019,8,265,226,87587
2019,8,195,226,87549
2019,9,79,144,87520
2019,2,3,147,87500
2019,3,93,173,87377
2019,8,181,179,87304
2019,12,42,241,87303
2019,12,115,214,87247
2019,10,162,92,87178
2019,5,265,260,87116
2019,5,28,264,87000
2019,5,121,264,87000
2019,5,10,264,87000
2019,6,130,205,86907
2019,10,171,144,86892
2019,10,53,83,86863
2019,10,53,98,86700
2019,10,9,227,86700
2019,4,264,193,86638
2019,5,94,63,86494
2019,5,145,82,86446
2019,11,100,223,86415
2019,12,242,42,86406
2019,9,41,247,86405
2019,10,41,247,86404
2019,9,51,18,86404
2019,9,182,18,86403
2019,11,116,235,86403
2019,10,100,235,86403
2019,10,140,167,86400
2019,12,234,235,85980
2019,12,181,28,85740
2019,5,264,146,85721
2019,8,82,10,85505
2019,3,55,164,85056
2019,12,163,226,85011
2019,12,208,181,84720
2019,8,19,205,84600
2019,8,90,137,84420
2019,7,51,167,84414
2019,8,234,14,84120
2019,6,48,235,83873
2019,12,68,226,83845
2019,8,164,7,83520
2019,10,235,94,83086
2019,4,42,188,83053
2019,5,69,130,82945
2019,8,170,140,82756
2019,12,89,185,82742
2019,10,40,107,82680
2019,10,61,195,82649
2019,3,235,18,82464
2019,11,233,226,82454
2019,8,107,89,82320
2019,12,164,56,82188
2019,4,264,223,81932
2019,12,136,90,81900
2019,2,40,161,81734
2019,10,20,81,81635
2019,6,264,226,81539
2019,4,264,192,81485
2019,11,265,212,81424
2019,8,107,39,81420
2019,7,78,241,81323
2019,8,48,233,81314
2019,12,113,174,81180
2019,4,94,235,81125
2019,11,163,7,80896
2019,8,209,230,80820
2019,2,74,81,80798
2019,8,26,254,80580
2019,10,48,219,80535
2019,5,126,260,80344
2019,12,228,215,79920
2019,5,264,235,79756
2019,5,214,251,79648
2019,12,230,226,79627
2019,2,251,69,79604
2019,11,168,240,79579
2019,7,226,80,79554
2019,12,161,56,79439
2019,8,116,107,79320
2019,8,45,89,78840
2019,8,209,152,78840
2019,8,246,61,78660
2019,9,236,238,78496
2019,2,256,164,78059
2019,8,134,80,77731
2019,10,170,98,77615
2019,8,26,48,77580
2019,12,122,10,77400
2019,8,196,222,77345
2019,8,209,39,77294
2019,7,264,79,77205
2019,5,225,138,77038
2019,8,48,23,76674
2019,11,228,48,76564
2019,8,107,90,76500
2019,12,36,131,76500
2019,1,78,115,76470
2019,8,155,78,76437
2019,3,214,118,76434
2019,11,45,216,76375
2019,4,55,129,76315
2019,8,48,169,76160
2019,5,264,237,76106
2019,8,130,159,75960
2019,5,181,87,75927
2019,11,124,168,75720
2019,4,126,136,75542
2019,12,236,226,75355
2019,5,264,244,75313
2019,8,10,135,75300
2019,2,159,182,75218
2019,2,182,115,75208
2019,9,89,10,75128
2019,1,265,65,75016
2019,12,168,14,74993
2019,7,74,77,74902
2019,10,68,260,74640
2019,5,32,136,74630
2019,2,231,163,74488
2019,8,235,140,74460
2019,8,151,47,74431
2019,5,248,136,73873
2019,6,264,193,73872
2019,3,159,182,73857
2019,9,82,10,73820
2019,11,181,229,73666
2019,5,264,112,73584
2019,12,100,260,73391
2019,11,252,126,73380
2019,8,166,107,73260
2019,7,119,241,73243
2019,5,251,248,73243
2019,4,264,129,73180
2019,6,219,265,73059
2019,5,163,216,73027
2019,4,264,259,72960
2019,1,251,247,72834
2019,4,264,260,72829
2019,3,9,157,72766
2019,12,258,86,72660
2019,5,264,118,72660
2019,2,145,229,72646
2019,12,187,115,72503
2019,5,247,3,72472
2019,4,264,179,72471
2019,11,250,17,72420
2019,8,131,38,72420
2019,7,3,241,72393
2019,6,264,229,72263
2019,1,182,97,72230
2019,11,32,241,72196
2019,10,217,35,71940
2019,8,42,216,71940
2019,5,264,84,71861
2019,4,264,82,71794
2019,4,126,18,71732
2019,8,95,163,71280
2019,4,264,156,71199
2019,12,48,234,71100
2019,12,100,48,71046
2019,11,170,223,70932
2019,12,41,222,70927
2019,9,247,137,70801
2019,7,196,10,70740
2019,9,76,121,70740
2019,8,45,51,70560
2019,2,136,42,70474
2019,10,226,93,70185
2019,4,83,102,70140
2019,4,9,10,70140
2019,9,89,25,70051
2019,2,1,264,70020
2019,11,191,129,69943
2019,10,137,208,69889
2019,2,140,79,69876
2019,8,22,39,69780
2019,2,3,184,69727
2019,12,230,173,69540
2019,5,48,129,69533
2019,8,50,97,69420
2019,3,147,60,69303
